IP地址	端口	回源端口	TLS	数据中心	地区	城市	TCP延迟(ms)	速度(MB/s)
47.243.203.119	2083	2083	TRUE	HKG	Asia Pacific	Hong Kong	59	4.44
47.243.74.220	2083	2083	TRUE	HKG	Asia Pacific	Hong Kong	48	4.43
8.217.159.210	8443	8443	TRUE	HKG	Asia Pacific	Hong Kong	59	4.43
8.219.111.147	2096	2096	TRUE	SIN	Asia Pacific	Singapore	51	4.43
47.236.145.85	2087	2087	TRUE	SIN	Asia Pacific	Singapore	33	4.43
47.245.84.124	2083	2083	TRUE	SIN	Asia Pacific	Singapore	50	4.41
47.237.82.15	2083	2083	TRUE	SIN	Asia Pacific	Singapore	71	4.41
47.237.95.140	2053	2053	TRUE	SIN	Asia Pacific	Singapore	104	4.4
47.238.6.102	2096	2096	TRUE	HKG	Asia Pacific	Hong Kong	44	4.4
8.218.188.129	2053	2053	TRUE	HKG	Asia Pacific	Hong Kong	92	4.4
47.237.82.15	2096	2096	TRUE	SIN	Asia Pacific	Singapore	51	4.4
8.217.147.230	2053	2053	TRUE	HKG	Asia Pacific	Hong Kong	100	4.39
47.237.100.206	2053	2053	TRUE	SIN	Asia Pacific	Singapore	4	4.39
47.245.105.224	2083	2083	TRUE	SIN	Asia Pacific	Singapore	45	4.39
8.219.77.222	2096	2096	TRUE	SIN	Asia Pacific	Singapore	119	4.38
8.218.3.12	2083	2083	TRUE	HKG	Asia Pacific	Hong Kong	56	4.38
47.236.253.41	2087	2087	TRUE	SIN	Asia Pacific	Singapore	35	4.37
47.242.119.104	2096	2096	TRUE	HKG	Asia Pacific	Hong Kong	61	4.37
47.243.186.171	8443	8443	TRUE	HKG	Asia Pacific	Hong Kong	69	4.36
8.218.126.53	2096	2096	TRUE	HKG	Asia Pacific	Hong Kong	74	4.36
8.210.245.224	2096	2096	TRUE	HKG	Asia Pacific	Hong Kong	38	4.36
8.222.222.64	2087	2087	TRUE	SIN	Asia Pacific	Singapore	52	4.35
47.243.206.150	8443	8443	TRUE	HKG	Asia Pacific	Hong Kong	59	4.35
8.222.180.86	2096	2096	TRUE	SIN	Asia Pacific	Singapore	59	4.35
8.218.243.95	2083	2083	TRUE	HKG	Asia Pacific	Hong Kong	71	4.34
8.218.211.17	2053	2053	TRUE	HKG	Asia Pacific	Hong Kong	67	4.34
8.217.181.213	2053	2053	TRUE	HKG	Asia Pacific	Hong Kong	137	4.34
47.243.139.85	2053	2053	TRUE	HKG	Asia Pacific	Hong Kong	56	4.33
47.236.172.95	2087	2087	TRUE	SIN	Asia Pacific	Singapore	90	4.33
47.242.202.230	2096	2096	TRUE	HKG	Asia Pacific	Hong Kong	59	4.32
47.245.114.163	2087	2087	TRUE	SIN	Asia Pacific	Singapore	34	4.32
47.237.14.220	8443	8443	TRUE	SIN	Asia Pacific	Singapore	85	4.31
47.237.92.26	2083	2083	TRUE	SIN	Asia Pacific	Singapore	37	4.31
47.76.26.26	2087	2087	TRUE	HKG	Asia Pacific	Hong Kong	70	4.3
47.242.202.230	2083	2083	TRUE	HKG	Asia Pacific	Hong Kong	61	4.3
47.237.95.146	2083	2083	TRUE	SIN	Asia Pacific	Singapore	66	4.3
8.219.106.156	2087	2087	TRUE	SIN	Asia Pacific	Singapore	45	4.29
8.217.66.3	2053	2053	TRUE	HKG	Asia Pacific	Hong Kong	71	4.29
47.237.84.173	2053	2053	TRUE	SIN	Asia Pacific	Singapore	73	4.27
47.236.10.182	2083	2083	TRUE	SIN	Asia Pacific	Singapore	65	4.27
47.245.102.52	2083	2083	TRUE	SIN	Asia Pacific	Singapore	22	4.26
47.236.75.163	8443	443	TRUE	SIN	Asia Pacific	Singapore	54	4.26
47.237.94.140	2087	2087	TRUE	SIN	Asia Pacific	Singapore	57	4.25
47.243.139.85	2087	2087	TRUE	HKG	Asia Pacific	Hong Kong	108	4.25
8.218.3.198	2053	2053	TRUE	HKG	Asia Pacific	Hong Kong	88	4.25
47.236.102.102	2053	2053	TRUE	SIN	Asia Pacific	Singapore	71	4.24
47.76.33.40	2087	2087	TRUE	HKG	Asia Pacific	Hong Kong	70	4.23
8.222.128.32	443	443	TRUE	SIN	Asia Pacific	Singapore	51	4.23
47.76.192.24	2087	2087	TRUE	HKG	Asia Pacific	Hong Kong	75	4.23
8.218.181.189	8443	8443	TRUE	HKG	Asia Pacific	Hong Kong	109	4.22
8.219.42.72	2053	2053	TRUE	SIN	Asia Pacific	Singapore	48	4.22
47.237.84.173	8443	8443	TRUE	SIN	Asia Pacific	Singapore	36	4.21
47.76.80.72	2087	2087	TRUE	HKG	Asia Pacific	Hong Kong	67	4.21
47.245.102.52	2087	2087	TRUE	SIN	Asia Pacific	Singapore	60	4.21
47.236.121.23	2083	2083	TRUE	SIN	Asia Pacific	Singapore	66	4.21
8.218.48.92	2087	2087	TRUE	HKG	Asia Pacific	Hong Kong	78	4.2
8.222.155.206	443	443	TRUE	SIN	Asia Pacific	Singapore	80	4.2
47.242.202.230	8443	8443	TRUE	HKG	Asia Pacific	Hong Kong	57	4.2
47.237.11.182	2096	2096	TRUE	SIN	Asia Pacific	Singapore	45	4.19
47.245.86.230	2083	2083	TRUE	SIN	Asia Pacific	Singapore	35	4.19
8.218.3.198	2096	2096	TRUE	HKG	Asia Pacific	Hong Kong	99	4.19
47.237.84.173	2083	2083	TRUE	SIN	Asia Pacific	Singapore	49	4.18
47.236.167.231	2053	2053	TRUE	SIN	Asia Pacific	Singapore	53	4.18
47.236.144.208	2096	2096	TRUE	SIN	Asia Pacific	Singapore	113	4.18
47.245.118.70	2053	2053	TRUE	SIN	Asia Pacific	Singapore	28	4.18
47.250.155.74	80	443	TRUE	SIN	Asia Pacific	Singapore	36	4.17
47.243.173.187	2096	2096	TRUE	HKG	Asia Pacific	Hong Kong	63	4.17
8.210.48.107	2096	2096	TRUE	HKG	Asia Pacific	Hong Kong	48	4.16
8.217.181.213	2087	2087	TRUE	HKG	Asia Pacific	Hong Kong	58	4.16
47.245.96.80	8443	8443	TRUE	SIN	Asia Pacific	Singapore	20	4.16
47.242.107.109	8443	8443	TRUE	HKG	Asia Pacific	Hong Kong	55	4.15
47.238.198.21	443	443	TRUE	HKG	Asia Pacific	Hong Kong	66	4.15
47.250.159.36	80	443	TRUE	SIN	Asia Pacific	Singapore	41	4.15
47.236.197.190	8443	443	TRUE	SIN	Asia Pacific	Singapore	80	4.15
47.243.90.180	2087	2087	TRUE	HKG	Asia Pacific	Hong Kong	60	4.15
47.236.254.120	2096	2096	TRUE	SIN	Asia Pacific	Singapore	21	4.15
47.245.86.230	443	443	TRUE	SIN	Asia Pacific	Singapore	48	4.14
47.250.149.42	80	443	TRUE	SIN	Asia Pacific	Singapore	59	4.13
47.237.121.38	2053	2053	TRUE	SIN	Asia Pacific	Singapore	21	4.13
8.218.8.142	8443	8443	TRUE	HKG	Asia Pacific	Hong Kong	84	4.13
47.76.189.102	2053	2053	TRUE	HKG	Asia Pacific	Hong Kong	72	4.12
47.237.95.140	8443	8443	TRUE	SIN	Asia Pacific	Singapore	85	4.12
47.250.159.165	80	443	TRUE	SIN	Asia Pacific	Singapore	69	4.12
47.237.94.140	2053	2053	TRUE	SIN	Asia Pacific	Singapore	22	4.12
47.250.149.42	80	443	TRUE	SIN	Asia Pacific	Singapore	51	4.12
8.219.50.180	443	443	TRUE	SIN	Asia Pacific	Singapore	57	4.11
8.222.128.32	443	443	TRUE	SIN	Asia Pacific	Singapore	109	4.11
47.76.204.76	2096	2096	TRUE	HKG	Asia Pacific	Hong Kong	56	4.1
47.237.95.146	2053	2053	TRUE	SIN	Asia Pacific	Singapore	29	4.1
47.76.192.24	2083	2083	TRUE	HKG	Asia Pacific	Hong Kong	50	4.1
8.219.235.164	2087	2087	TRUE	SIN	Asia Pacific	Singapore	53	4.1
47.245.86.230	8443	8443	TRUE	SIN	Asia Pacific	Singapore	46	4.1
8.210.42.171	2053	2053	TRUE	HKG	Asia Pacific	Hong Kong	60	4.09
47.76.29.115	2083	2083	TRUE	HKG	Asia Pacific	Hong Kong	52	4.09
47.236.83.239	8443	8443	TRUE	SIN	Asia Pacific	Singapore	91	4.09
